timestamp,exchange,symbol,timeframe,setups,direction,close,volume,atr_pct,high_volatility,mtf_confirmed,score
2026-03-20T06:51:32.825178+00:00,BINGX,1000000BABYDOGE/USDT:USDT,1h,bearish_engulfing,bearish,0.0004191,96659808.0,1.341969943338604,True,True,2
2026-03-20T06:51:33.693232+00:00,BINGX,1000000BOB/USDT:USDT,15m,bearish_engulfing,bearish,0.01108,332911.7,0.6586221863489732,True,True,2
2026-03-20T06:51:33.817951+00:00,BINGX,1000000BOB/USDT:USDT,1h,bearish_engulfing,bearish,0.01108,2506993.9,1.3790905647903289,True,True,2
2026-03-20T06:51:37.617061+00:00,BINGX,1000BONK/USDT:USDT,1h,bearish_engulfing,bearish,0.006013,14269957.0,1.1726378930046144,True,True,2
2026-03-20T06:51:38.116366+00:00,BINGX,1000CAT/USDT:USDT,1m,bullish_engulfing,bullish,0.001659,523897.0,0.17406695707902892,False,False,1
2026-03-20T06:51:38.477636+00:00,BINGX,1000CAT/USDT:USDT,3m,bullish_engulfing,bullish,0.001659,467338.0,0.2292184639224281,False,False,1
2026-03-20T06:51:38.738861+00:00,BINGX,1000CAT/USDT:USDT,15m,bullish_engulfing,bullish,0.001659,3128500.0,0.49344097485417504,False,False,1
2026-03-20T06:51:39.116291+00:00,BINGX,1000CAT/USDT:USDT,1h,bearish_engulfing,bearish,0.001659,27647866.0,1.013610049995479,True,True,2
2026-03-20T06:51:39.603259+00:00,BINGX,1000CHEEMS/USDT:USDT,5m,bullish_engulfing,bullish,0.0004617,3788482.0,0.3122361360781184,False,False,1
2026-03-20T06:51:39.991855+00:00,BINGX,1000CHEEMS/USDT:USDT,15m,bullish_engulfing,bullish,0.0004617,16827979.0,0.5635022729069471,True,True,2
2026-03-20T06:51:40.255770+00:00,BINGX,1000CHEEMS/USDT:USDT,4h,bullish_engulfing,bullish,0.0004617,348283949.0,2.91041671339453,True,True,2
2026-03-20T06:51:41.122652+00:00,BINGX,1000PEPE/USDT:USDT,5m,bullish_engulfing,bullish,0.0034538,883265.0,0.2590851902880196,False,False,1
2026-03-20T06:51:48.518188+00:00,BINGX,2Z/USDT:USDT,4h,bearish_engulfing,bearish,0.07723,9995269.7,2.5053374959671735,True,True,2
2026-03-20T06:51:53.850522+00:00,BINGX,4EVER/USDT,4h,bearish_engulfing,bearish,0.0001576,3040948.61,0.9711163839675133,True,True,2
2026-03-20T06:51:56.437855+00:00,BINGX,9BIT/USDT,15m,rsi_oversold,mixed,0.023528,573467.16,0.1968610923065673,False,False,1
2026-03-20T06:51:56.589519+00:00,BINGX,9BIT/USDT,1h,rsi_oversold,mixed,0.023528,4223545.69,0.4901033463017573,False,False,1
2026-03-20T06:51:56.707109+00:00,BINGX,9BIT/USDT,4h,rsi_oversold,mixed,0.023528,13620807.08,1.0307105123012228,True,True,2
2026-03-20T06:52:02.707993+00:00,BINGX,A2Z/USDT,1h,bullish_engulfing,bullish,0.000486,5030200.0,6.033931260891669,True,True,2
2026-03-20T06:52:03.081570+00:00,BINGX,A2Z/USDT,4h,rsi_oversold,mixed,0.000486,33218100.0,13.03253114214104,True,True,2
2026-03-20T06:52:04.768154+00:00,BINGX,A2Z/USDT:USDT,1h,bullish_engulfing,bullish,0.000487,482011586.0,5.62546459375119,True,True,2
2026-03-20T06:52:05.153152+00:00,BINGX,A2Z/USDT:USDT,4h,rsi_oversold,mixed,0.000487,1584794681.0,10.229256140006322,True,True,2
2026-03-20T06:52:20.670412+00:00,BINGX,ACH/USDT,1h,bearish_engulfing,bearish,0.00702,276817.5,0.933573696043053,True,True,2
2026-03-20T06:52:21.958838+00:00,BINGX,ACH/USDT:USDT,1h,bearish_engulfing,bearish,0.007018,1878865.0,0.8452887018545472,True,True,2
2026-03-20T06:52:33.563110+00:00,BINGX,ACU/USDT:USDT,1h,rsi_oversold,mixed,0.0848,152135.09,1.2622219460249806,True,True,2
